Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7917191,0.00019999995,-0.24880451,8.557794350035051,8.557794367157733,170.1764705882353
2000,1.7917237,0.00019999995,-0.2885508,3.3418204709887505,3.3418206294664117,164.9375
3000,1.7917237,0.00019999995,-0.2632213,7.260874130659634,7.260874182978316,170.83333333333334
4000,1.7884763,0.00019999995,-0.120114766,6.187066661960938,6.187066651740866,159.7058823529412
5000,1.7854275,0.00019999995,-0.07128586,7.335299046337605,7.335299025817653,154.05
6000,1.7854519,0.00019999995,-0.09502358,5.611697223924455,5.611697242105363,150.85714285714286
7000,1.7846338,0.00019999995,-0.085433245,4.2929098502449365,4.292909819696552,126.0
8000,1.7749301,0.00019999995,0.21973386,6.87541711628437,6.8754171073195725,144.9
9000,1.7750822,0.00019999995,0.19987416,5.639158117246222,5.6391581152869215,132.36363636363637
10000,1.7752872,0.00019999995,0.1552763,6.583390270408831,6.583390288736729,148.47368421052633
11000,1.7798198,0.00019999992,0.34553146,8.546379214525222,8.546379179771309,179.2
12000,1.7821183,0.0001999999,0.42648724,9.13062239745084,9.1306223272929,186.88235294117646
13000,1.7819887,0.0001999999,0.43462443,6.533054757685888,6.53305471765331,148.52380952380952
14000,1.7802395,0.0001999999,0.47251618,9.906814847673688,9.9068148333192,203.07142857142858
15000,1.7735109,0.0001999999,0.6708388,8.541350536486682,8.541350572283243,176.1764705882353
16000,1.7737359,0.0001999999,0.69566655,7.274548437860277,7.27454850493013,156.44444444444446
17000,1.7735026,0.0001999999,0.7046486,8.554696391026178,8.554696333486365,171.44444444444446
18000,1.7737201,0.0001999999,0.7905383,10.601592698267527,10.601592631411352,206.14285714285714
19000,1.7737201,0.0001999999,0.87037164,11.562888788325447,11.562888712725226,217.35714285714286
20000,1.7735845,0.0001999999,0.83489466,8.135138733312488,8.13513873606945,180.5625
21000,1.7701536,0.0001999999,0.98481,8.848837291418265,8.84883728449986,175.46666666666667
22000,1.7607028,0.0001999999,1.1494873,23.866444574462044,23.86644460702367,372.0
23000,1.7626954,0.0001999999,1.2665019,20.756846327334642,20.756846309184994,323.375
24000,1.7591416,0.0001999999,1.1019815,13.567178738968712,13.567178810696012,231.28571428571428
25000,1.7527281,0.0001999999,1.4806138,20.165878377854824,20.165878370643043,314.25
26000,1.7512426,0.0001999999,1.4145792,17.325759482383727,17.325759061687858,285.3
27000,1.748243,0.0001999999,1.3857305,18.73888052172131,18.738880334533558,298.77777777777777
28000,1.7489333,0.0001999999,1.6168841,23.657939456403255,23.65793949246836,354.625
29000,1.745185,0.00019999988,1.7816114,42.17280891537666,42.17280901322132,589.3333333333334
30000,1.7405915,0.00019999986,1.74614,44.31279216706753,44.31279222160174,608.25
31000,1.7449673,0.00019999986,1.76907,36.398348009586336,36.3983476101108,523.8
32000,1.7282456,0.00019999986,2.0265872,38.25086122751236,38.250861299248754,541.25
33000,1.7354571,0.00019999986,2.0283287,28.909105755388737,28.90910549001802,415.5
34000,1.7290025,0.00019999986,2.1499906,None,None,None
35000,1.708932,0.00019999986,2.2449858,57.266008377075195,57.26600805594353,781.5
36000,1.6987705,0.00019999986,2.3618677,189.24405932426453,189.24406171878218,2428.0
37000,1.7057382,0.00019999986,2.373205,177.66681176424026,177.66681123154316,2233.3333333333335
38000,1.7113328,0.00019999986,2.448105,None,None,None
39000,1.7203366,0.00019999986,2.6930466,None,None,None
40000,1.7233665,0.00019999986,2.7029514,None,None,None
41000,1.7269322,0.00019999986,2.6893976,310.9791148503621,310.97911534334315,3938.0
42000,1.7110351,0.00019999986,2.8540401,None,None,None
43000,1.6908991,0.00019999986,2.9039433,214.70826864242554,214.7082680214553,2755.0
44000,1.6937733,0.00019999983,2.901591,None,None,None
45000,1.692195,0.00019999983,2.9546316,245.34933121999106,245.34933253421332,3019.6666666666665
46000,1.6747521,0.00019999983,3.1721122,None,None,None
