Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
1000,1.7895739,0.00019999995,0.4600877,93.66730938194429,93.66730907225478,127.53676470588235,128.04195,0.035665523
2000,1.7568443,0.00019999995,1.5560293,118.25931481225992,118.25931474987792,125.34567901234568,166.7214,0.03167745
3000,1.695311,0.00019999995,3.6330702,132.78571082490265,132.7857109402748,122.79617834394904,230.22868,0.037281137
4000,1.662195,0.00019999995,5.502231,150.00680168108508,150.00680149959695,126.49350649350649,336.22266,0.03087698
5000,1.6191607,0.00019999995,7.0427923,144.0373583980644,144.03735792197807,116.68823529411765,304.83942,0.03528338
6000,1.5699272,0.00019999995,8.5145,175.13048138635025,175.1304816681384,136.25694444444446,314.35413,0.035333134
7000,1.5403068,0.00019999995,9.609462,182.49374568377826,182.49374561025533,135.11347517730496,371.37842,0.0322014
8000,1.5439898,0.00019999995,11.385018,194.2417533661638,194.24175303104585,140.92142857142858,375.35828,0.035501525
9000,1.5255244,0.00019999995,13.118785,170.89847766997798,170.89847729067378,128.59602649006624,360.0241,0.035145253
10000,1.4824425,0.00019999995,14.507932,211.395904031015,211.3959043990602,147.37593984962405,335.34216,0.03625821
11000,1.4613342,0.00019999992,15.190253,194.58067214571767,194.5806727914295,134.03472222222223,368.74927,0.036177166
12000,1.4332557,0.0001999999,16.46198,255.64324969409878,255.64325053299024,163.72649572649573,398.8662,0.038135797
13000,1.3921034,0.0001999999,16.501247,225.9299633079105,225.92996288724893,150.31851851851852,467.26135,0.03732737
14000,1.3626492,0.0001999999,17.442318,247.01254962943494,247.01254937720728,157.3671875,449.85547,0.036705162
15000,1.372351,0.0001999999,17.860415,232.00747854022657,232.00747883160648,151.29661016949152,428.5942,0.03208571
16000,1.3349235,0.0001999999,18.67327,305.58835518078985,305.58835496177727,191.62264150943398,394.23047,0.037518077
17000,1.3169289,0.0001999999,18.952799,230.49912470848693,230.49912402429635,150.37692307692308,425.08493,0.03352739
18000,1.279914,0.0001999999,21.234516,316.14307365855393,316.1430721880289,196.91836734693877,467.48108,0.032447193
19000,1.2489097,0.0001999999,22.023836,304.0370369141752,304.0370370526979,182.36363636363637,482.87482,0.031360067
20000,1.209017,0.0001999999,22.119139,295.5995713279361,295.5995712327818,179.46666666666667,425.4671,0.034059674
21000,1.136875,0.0001999999,22.788166,262.9176693900739,262.917667632691,163.2076923076923,405.43597,0.03520544
22000,1.1034168,0.0001999999,22.898787,281.46160473059683,281.4616038110489,175.70873786407768,448.26892,0.035492454
23000,1.0814406,0.0001999999,23.61408,303.8420672323726,303.8420682483718,187.41284403669724,479.53046,0.036042206
24000,1.077256,0.0001999999,24.263882,333.5446535469306,333.5446539523891,198.93939393939394,421.472,0.03749849
25000,1.0546045,0.0001999999,25.273893,258.5123299270117,258.5123303737692,157.99159663865547,444.118,0.03854256
26000,1.0555574,0.0001999999,26.762302,373.35923922205546,373.3592374482619,219.75903614457832,428.09467,0.03314645
27000,1.0502166,0.0001999999,27.823193,415.18348856628694,415.1834911435037,235.8987341772152,460.92038,0.032443184
28000,0.9896051,0.0001999999,28.56447,466.83396550627316,466.83396347232645,260.81176470588235,458.95966,0.032698132
29000,0.9426704,0.00019999988,29.197027,337.43590944624964,337.4359094030985,195.25531914893617,423.0001,0.036720913
30000,0.9365384,0.00019999986,29.76663,436.5903517549688,436.5903510112401,248.2077922077922,491.03546,0.031914473
31000,0.9315647,0.00019999986,30.47898,556.4974654217561,556.4974661627634,305.1333333333333,536.7821,0.035912395
32000,0.93434036,0.00019999986,30.905275,499.1414480069104,499.14144762310025,281.7352941176471,527.1432,0.032965496
33000,0.94036645,0.00019999986,32.820522,472.12541635632516,472.1254171169603,266.775,424.45535,0.033786446
34000,0.96309054,0.00019999986,32.89548,572.4850465213099,572.4850456520484,324.85483870967744,502.61023,0.03405233
35000,0.97188276,0.00019999986,34.70527,625.7741471230984,625.7741477914736,345.3125,463.75946,0.034207292
36000,0.99778587,0.00019999986,35.310307,467.3206100785543,467.3206114299923,257.85714285714283,463.87622,0.029074274
37000,0.9750026,0.00019999986,36.13451,641.1536679198776,641.1536680890574,343.0144927536232,466.2151,0.035978213
38000,0.96977454,0.00019999986,36.600613,542.2557102817556,542.2557081712321,312.80434782608694,511.5938,0.03320068
39000,0.96234864,0.00019999986,37.632404,756.8821092636689,756.8821081358337,408.2826086956522,441.43118,0.033544227
40000,0.98753697,0.00019999986,38.56869,763.4474266044637,763.4474267763803,400.1489361702128,431.4108,0.03417291
41000,1.002974,0.00019999986,38.31819,750.3438401985914,750.3438417046534,401.765625,426.78278,0.035476662
42000,0.9903073,0.00019999986,39.065918,535.8101085500111,535.8101091309904,293.12698412698415,475.00323,0.034781754
43000,0.9963947,0.00019999986,40.22122,752.17333753407,752.173340050479,413.35,448.86996,0.035137083
44000,1.0059539,0.00019999983,41.360027,851.6284113818026,851.6284130196839,457.02127659574467,428.59048,0.03156622
45000,1.0425802,0.00019999983,42.556973,683.297052948035,683.2970580759443,360.1320754716981,410.62225,0.034551807
46000,1.0650706,0.00019999983,43.31986,819.150526380539,819.1505264734878,442.525,444.38202,0.029926512
47000,1.0505061,0.00019999983,46.193592,898.6253730174034,898.6253722602189,460.5806451612903,460.94434,0.030482166
48000,1.0546489,0.00019999983,47.98289,1047.094075453587,1047.094075074325,543.4871794871794,421.06506,0.032819808
49000,1.0495878,0.00019999983,48.18006,1022.6918180305511,1022.6918171333372,534.5272727272727,403.28796,0.034224458
50000,1.0553223,0.00019999983,49.556396,662.9012703039707,662.9012736163833,353.2564102564103,380.50275,0.034808178
51000,1.060451,0.00019999983,51.121433,637.4061772227287,637.4061771892602,336.1875,475.22122,0.032631118
52000,1.0652074,0.00019999983,51.234,939.2203143608002,939.2203164624519,488.9047619047619,427.4668,0.035595484
53000,1.0322343,0.00019999975,51.68411,1003.1634798029013,1003.1634775535836,525.6140350877193,445.60934,0.0342426
54000,1.006228,0.00019999975,53.785927,807.7543035662452,807.7543028962759,414.8837209302326,461.0301,0.031332627
55000,1.0207868,0.00019999975,53.230366,640.8819566196865,640.8819543902177,340.55555555555554,394.3236,0.03571123
56000,1.0053974,0.00019999972,55.267212,937.9837269215357,937.983723449271,493.0,414.9862,0.038147777
57000,1.0376196,0.00019999972,55.200066,873.362404291747,873.3624049522649,462.4754098360656,413.4278,0.031029522
58000,1.0044911,0.00019999972,57.371193,674.1824844757716,674.1824878516753,372.3,424.69226,0.036742385
59000,1.0379815,0.00019999972,58.905354,767.7805925186942,767.7805907274633,412.0882352941176,359.28796,0.031664178
60000,1.0266484,0.00019999972,59.27079,703.844632886705,703.8446338871789,367.2857142857143,332.41458,0.032307778
61000,1.0348858,0.00019999972,59.007465,1068.8522988453744,1068.852299300143,553.063492063492,428.41278,0.033177014
62000,1.0365758,0.00019999972,61.6029,828.0929434369592,828.0929506194043,437.05882352941177,339.31757,0.030978471
63000,1.0560945,0.00019999972,62.26687,819.5165401867458,819.5165420692047,434.48571428571427,372.72345,0.032055765
64000,1.0638189,0.00019999972,62.37601,735.7970060690856,735.7970068213241,389.5128205128205,432.65857,0.036622174
65000,1.069612,0.00019999972,64.14632,1135.2687302629154,1135.2687335737317,584.3333333333334,303.90393,0.036889948
66000,1.0755862,0.00019999972,65.33877,639.539009295977,639.5390042658928,342.97435897435895,326.08527,0.03620265
67000,1.0760576,0.00019999972,68.259575,735.8582464027405,735.8582462944581,393.96,349.34045,0.033075236
68000,1.0644909,0.00019999969,69.30205,746.3752761518253,746.3752756480509,388.7352941176471,371.83417,0.03131492
69000,1.0714325,0.00019999967,69.80218,1743.7580608141188,1743.7580660880874,875.8235294117648,332.08218,0.027752977
70000,1.0849407,0.00019999967,70.004036,611.3605423009757,611.3605420662785,319.93939393939394,386.96393,0.036506727
71000,1.0857493,0.00019999967,71.355316,828.5746689265774,828.5746711818398,443.48387096774195,336.29398,0.0344258
72000,1.0666438,0.00019999967,71.96569,637.066823972596,637.066825555557,344.9166666666667,327.5062,0.031874247
73000,1.0373755,0.00019999967,73.85893,1945.3156191621508,1945.3156201947693,971.952380952381,294.9527,0.033986375
74000,1.0431482,0.00019999967,74.30824,581.4485368172328,581.4485375977927,324.93333333333334,345.96478,0.03353721
75000,1.0504377,0.00019999967,75.661575,527.6861211265837,527.6861164992836,290.37142857142857,337.8362,0.032802776
76000,1.0434513,0.00019999967,77.14652,693.3218021001135,693.3218001129865,370.4,280.72617,0.03290448
77000,1.025673,0.00019999967,77.561874,1797.7306660676002,1797.7306627759494,908.34,269.88193,0.030023983
78000,1.0365428,0.00019999967,79.54722,685.6166994110231,685.6166950288041,365.2258064516129,293.93292,0.03300996
79000,1.0523357,0.00019999967,81.07586,854.6518816454657,854.6518796182879,456.9310344827586,310.65045,0.033858694
80000,1.054804,0.00019999967,81.37462,535.9381568020788,535.9381590182792,296.7931034482759,285.3753,0.036710303
81000,1.0606291,0.00019999967,84.172005,2036.242457455532,2036.2424576080928,1026.0454545454545,325.96167,0.0384159
82000,1.0571359,0.00019999967,85.13805,630.6664759210638,630.6664719339586,332.13513513513516,285.58435,0.028643869
83000,1.0509485,0.00019999966,84.50574,397.58577471826135,397.5857740217237,222.390243902439,266.41925,0.03497377
84000,1.0598702,0.00019999966,86.28463,542.9493886402676,542.949389290817,302.22857142857146,269.41296,0.035899
85000,1.0444087,0.00019999966,88.27575,2070.4738907969518,2070.473883873258,1025.4782608695652,230.28291,0.03618051
86000,1.0509629,0.00019999965,89.41018,576.3492005109787,576.3492025434937,302.3333333333333,285.46835,0.03525179
87000,1.0604744,0.00019999965,89.01703,861.85229105589,861.8522933774902,437.5581395348837,313.08493,0.032494802
88000,1.0584147,0.00019999965,89.63591,562.2712193546873,562.2712227290707,317.7878787878788,344.234,0.0328096
89000,1.0620303,0.00019999965,92.198395,1902.4729444980621,1902.4729458877846,944.4318181818181,299.45404,0.032977812
90000,1.059886,0.00019999965,94.7745,788.5339612293243,788.5339671363449,413.92,327.9968,0.035405062
91000,1.038133,0.00019999965,96.432755,616.6876702378778,616.6876706372534,334.8235294117647,251.49916,0.035708256
92000,1.0352077,0.00019999965,98.66236,501.5989255428314,501.59892842307977,278.3,239.06538,0.032012288
93000,1.0060372,0.00019999965,97.45524,1657.7835575609372,1657.7835570544678,831.4655172413793,239.10632,0.03259164
94000,0.96606493,0.00019999965,98.81392,925.4712721934685,925.4712692980468,506.5,290.32858,0.036533177
