Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.7331816,0.00019999995,0.020795804,46.3459982602827,46.34599842268254,145.3548387096774
2000,1.7314458,0.00019999995,0.7641057,36.070950634339276,36.070950604066155,136.23529411764707
3000,1.7400479,0.00019999995,0.8302558,29.23890257687182,29.238902681506385,140.40540540540542
4000,1.7609502,0.00019999995,0.5253563,46.907092806620476,46.907092676463485,125.84615384615384
5000,1.7453395,0.00019999995,0.85689074,40.85599501465642,40.85599487737027,111.55813953488372
6000,1.7475258,0.00019999995,0.93177366,61.538684987596106,61.538684656168826,165.92857142857142
7000,1.7379453,0.00019999995,1.5320706,56.3575497508049,56.35754949541345,169.63333333333333
8000,1.7381501,0.00019999995,1.3800354,39.296104503174625,39.296104224176915,139.33333333333334
9000,1.7303057,0.00019999995,1.7820448,31.51776016354561,31.517760457553393,108.0
10000,1.7483115,0.00019999995,1.8616222,43.38200066905273,43.38200055209477,130.94736842105263
11000,1.7387381,0.00019999992,2.4661653,42.916566732767464,42.91656670951822,129.24324324324326
12000,1.720769,0.0001999999,2.6614585,36.403922616243364,36.40392260172048,102.94
13000,1.734893,0.0001999999,2.58445,37.166615422653116,37.166615603661896,101.80434782608695
14000,1.723729,0.0001999999,2.924427,51.78948935121298,51.78948918738242,128.7
15000,1.731237,0.0001999999,2.9175203,45.67873281967349,45.67873296623382,118.39024390243902
16000,1.7267365,0.0001999999,2.9834256,42.19577167383054,42.195771903746014,121.85365853658537
17000,1.7316743,0.0001999999,3.294075,40.31135506894854,40.31135488972909,101.08888888888889
18000,1.7155124,0.0001999999,3.6512756,44.37576348119312,44.375763612700396,115.91111111111111
19000,1.7194223,0.0001999999,3.7361567,49.21730905542007,49.21730936371396,123.56410256410257
20000,1.7171582,0.0001999999,3.9858234,50.46593756128002,50.46593795987822,125.35135135135135
21000,1.7158802,0.0001999999,3.931886,53.30492765874398,53.304928089963006,126.21951219512195
22000,1.7161202,0.0001999999,4.6446238,43.84602710935805,43.846027468058715,108.82222222222222
23000,1.7051518,0.0001999999,4.4821033,45.08986356125938,45.08986382164908,108.4888888888889
24000,1.7091632,0.0001999999,4.7175474,38.87350237895937,38.873502712986166,101.97826086956522
25000,1.7211895,0.0001999999,4.830579,45.77672338485718,45.77672318243632,108.91489361702128
26000,1.7320943,0.0001999999,5.263092,49.40300863981247,49.403008794610194,117.2
27000,1.7207941,0.0001999999,5.2025757,44.286830793727525,44.28683053736094,113.0909090909091
28000,1.7357867,0.0001999999,5.747946,54.09233667339598,54.092336783287465,133.11428571428573
